id,Duración de la prueba,Monstruos o animales encontrados,Sarcófagos abiertos,Salas visitadas,Objetos con los que se ha interactuado
1,2196.170000,4,2,11,1
2,987.890000,1,1,3,7
3,1087.220000,1,1,3,3
4,869.44000,1,2,3,7
5,1040.55000,1,1,3,7
6,962.52000,1,1,3,3
7,971.480000,1,2,3,5
8,2142.280000,3,4,7,10
9,915.08000,1,1,3,6
10,1164.58000,1,2,3,13
11,637.09000,1,1,3,4crono,0,0,0,0
crono,0,0,0,0
crono,0,0,0,0
crono,0,0,0,0
crono,0,0,0,0
